urn:udson:pearson.com/xl/highered:user/19869029,4,5038,7
urn:udson:pearson.com/xl/highered:user/19994748,5,74,5
urn:udson:pearson.com/xl/highered:user/20299300,25,11431,27
urn:udson:pearson.com/xl/highered:user/19991391,4,243,4
urn:udson:pearson.com/xl/highered:user/20420132,0,2739,14
urn:udson:pearson.com/xl/highered:user/21415727,12,2121,12
urn:udson:pearson.com/xl/highered:user/20545515,13,873,6
urn:udson:pearson.com/xl/highered:user/17841140,3,194,3
urn:udson:pearson.com/xl/highered:user/20482631,42,15880,43
urn:udson:pearson.com/xl/highered:user/20049245,3,96,10
urn:udson:pearson.com/xl/highered:user/19921361,,81,2
urn:udson:pearson.com/xl/highered:user/21036441,4,0,4
urn:udson:pearson.com/xl/highered:user/19059380,36.66667,4572,20
urn:udson:pearson.com/xl/highered:user/20389088,3,236,4
urn:udson:pearson.com/xl/highered:user/13550846,14,7435,14
urn:udson:pearson.com/xl/highered:user/20396688,14,7791,15
urn:udson:pearson.com/xl/highered:user/18700191,20,6161,28
urn:udson:pearson.com/xl/highered:user/21048042,0,0,0
urn:udson:pearson.com/xl/highered:user/17770437,19,3803,20
urn:udson:pearson.com/xl/highered:user/20397105,14,9778,15
urn:udson:pearson.com/xl/highered:user/20524897,15.15873,9166,2
urn:udson:pearson.com/xl/highered:user/21491971,12,2402,20
urn:udson:pearson.com/xl/highered:user/20080588,39.5,16649,41
urn:udson:pearson.com/xl/highered:user/3719108,15.56667,5818,20
urn:udson:pearson.com/xl/highered:user/20388912,3.5,2314,5
urn:udson:pearson.com/xl/highered:user/20385912,7,2201,8
urn:udson:pearson.com/xl/highered:user/20832609,33,2999,33
urn:udson:pearson.com/xl/highered:user/21501695,7.5,7752,12
urn:udson:pearson.com/xl/highered:user/20255202,18,6443,31
urn:udson:pearson.com/xl/highered:user/21476268,5,378,5
urn:udson:pearson.com/xl/highered:user/20865256,0,912,2
urn:udson:pearson.com/xl/highered:user/17923324,15.33333,4694,19
urn:udson:pearson.com/xl/highered:user/15693771,7,3822,10
urn:udson:pearson.com/xl/highered:user/21186190,0,28,1
urn:udson:pearson.com/xl/highered:user/21295314,4,3793,4
urn:udson:pearson.com/xl/highered:user/21501758,3.46667,2135,6
urn:udson:pearson.com/xl/highered:user/20027382,1,0,1
urn:udson:pearson.com/xl/highered:user/18874971,1,0,1
urn:udson:pearson.com/xl/highered:user/15655623,20,3043,20
urn:udson:pearson.com/xl/highered:user/20121549,9,2858,10
urn:udson:pearson.com/xl/highered:user/21208805,5,2439,7
urn:udson:pearson.com/xl/highered:user/12681638,12,1380,12
urn:udson:pearson.com/xl/highered:user/19894927,8,4218,8
urn:udson:pearson.com/xl/highered:user/20086669,29,1964,29
urn:udson:pearson.com/xl/highered:user/18296147,7,5942,10
urn:udson:pearson.com/xl/highered:user/14353894,2,326,9
urn:udson:pearson.com/xl/highered:user/21001535,6.58333,1558,14
urn:udson:pearson.com/xl/highered:user/21510178,1.02836,1329,10
